time_ms,packet_delay_ms,normalized_delta_phi,is_replay,detected_by_threshold
56100,0.274706,0.049326,0,0
56200,3.767511,0.049977,0,0
56300,6.503524,0.050565,0,0
56400,4.084918,0.051184,0,0
56500,7.502743,0.051731,0,0
56600,1.105935,0.052313,0,0
56700,6.407280,0.052891,0,0
56800,5.103162,0.053510,0,0
56900,3.563801,0.054050,0,0
57000,2.682846,0.054543,0,0
57100,5.315724,0.055076,0,0
57200,4.533299,0.055554,0,0
57300,1.835013,0.056053,0,0
57400,7.112919,0.056497,0,0
57500,4.189836,0.056869,0,0
57600,2.648517,0.057245,0,0
57700,8.078239,0.057585,0,0
57800,1.983572,0.057894,0,0
57900,8.534887,0.058184,0,0
58000,5.533242,0.058461,0,0
58100,8.395427,0.058741,0,0
58200,2.244378,0.058992,0,0
58300,7.548358,0.059130,0,0
58400,5.707951,0.059323,0,0
58500,6.389180,0.059448,0,0
58600,8.224838,0.059554,0,0
58700,1.673703,0.059719,0,0
58800,4.405983,0.059836,0,0
58900,4.609058,0.059960,0,0
59000,5.788729,0.060079,0,0
59100,3.030537,0.060143,0,0
59200,8.278361,0.060163,0,0
59300,4.945730,0.060162,0,0
59400,7.752973,0.060198,0,0
59500,4.366801,0.060267,0,0
59600,8.896111,0.060343,0,0
59700,8.771053,0.060432,0,0
59800,6.411899,0.060516,0,0
59900,2.128685,0.060542,0,0
60000,1.517100,0.060565,0,0
0,3.545089,0.031821,0,0
100,4.797631,0.031744,0,0
200,4.466427,0.031695,0,0
300,6.808993,0.031695,0,0
400,5.237790,0.031678,0,0
500,1.739769,0.031646,0,0
600,4.548228,0.031633,0,0
700,5.462634,0.031574,0,0
800,8.628640,0.031546,0,0
900,7.259156,0.031453,0,0
1000,6.859482,0.031353,0,0
1100,1.457228,0.031279,0,0
1200,5.311905,0.031162,0,0
1300,3.385605,0.031150,0,0
1400,5.853362,0.031093,0,0
1500,8.976875,0.030968,0,0
1600,8.750157,0.030783,0,0
1700,8.339304,0.030636,0,0
1800,2.028743,0.030422,0,0
1900,2.191179,0.030269,0,0
2000,5.638683,0.030060,0,0
2100,2.651817,0.029818,0,0
2200,2.077817,0.029587,0,0
2300,6.330385,0.029333,0,0
2400,0.587946,0.029132,0,0
2500,4.652323,0.028877,0,0
2600,3.243317,0.028610,0,0
2700,6.652785,0.028333,0,0
2800,3.736423,0.028016,0,0
2900,6.742277,0.027695,0,0
3000,1.102771,0.027364,0,0
3100,5.839475,0.027003,0,0
3200,1.011919,0.026621,0,0
3300,3.160738,0.026242,0,0
3400,8.408389,0.025873,0,0
3500,4.991591,0.025527,0,0
3600,2.701116,0.025163,0,0
3700,5.168169,0.024815,0,0
3800,2.529037,0.024489,0,0
3900,7.931667,0.024191,0,0
4000,1.641111,0.023820,0,0
4100,6.993825,0.023495,0,0
4200,6.942075,0.023143,0,0
4300,7.439369,0.022773,0,0
4400,1.553890,0.022415,0,0
4500,8.964421,0.022109,0,0
4600,0.552052,0.021760,0,0
4700,6.032514,0.021368,0,0
4800,5.471724,0.020943,0,0
4900,0.475591,0.020504,0,0
5000,7.295712,0.020018,0,0
5100,8.796970,0.019520,0,0
5200,2.316218,0.019054,0,0
5300,1.443603,0.018596,0,0
5400,0.935387,0.018086,0,0
5500,1.060864,0.017622,0,0
5600,6.579098,0.017235,0,0
5700,0.599850,0.016812,0,0
5800,8.263501,0.016399,0,0
5900,1.542260,0.015941,0,0
6000,7.134486,0.015475,0,0
6100,0.926683,0.015029,0,0
6200,2.975777,0.014517,0,0
6300,8.521369,0.014046,0,0
6400,0.356380,0.013592,0,0
6500,6.458263,0.013158,0,0
6600,2.140136,0.012689,0,0
6700,4.831575,0.012218,0,0
6800,8.738633,0.011749,0,0
6900,0.805999,0.011268,0,0
7000,1.275577,0.010784,0,0
7100,6.840708,0.010296,0,0
7200,8.453439,0.009837,0,0
7300,2.068903,0.009337,0,0
7400,0.617251,0.008814,0,0
7500,6.839443,0.008362,0,0
7600,2.237700,0.007914,0,0
7700,5.862778,0.007458,0,0
7800,2.497433,0.006952,0,0
7900,5.276399,0.006510,0,0
8000,8.473679,0.006058,0,0
8100,8.697606,0.005609,0,0
8200,6.539206,0.005193,0,0
8300,0.355003,0.004793,0,0
8400,4.093798,0.004355,0,0
8500,8.193182,0.003936,0,0
8600,0.446253,0.003525,0,0
8700,6.065928,0.003142,0,0
8800,0.952506,0.002698,0,0
8900,4.979428,0.002310,0,0
9000,5.904289,0.001863,0,0
9100,5.493176,0.001454,0,0
9200,7.361679,0.000987,0,0
9300,6.502466,0.000528,0,0
9400,6.633966,0.000041,0,0
9500,3.680221,0.000501,0,0
9600,8.845421,0.000961,0,0
9700,6.425074,0.001474,0,0
9800,6.148887,0.001909,0,0
9900,8.613679,0.002340,0,0
10000,8.675169,0.002755,0,0
10100,1.647113,0.003147,0,0
10200,1.800852,0.003580,0,0
10300,6.265129,0.003999,0,0
10400,7.542953,0.004443,0,0
10500,2.668540,0.004888,0,0
10600,7.082531,0.005301,0,0
10700,7.085838,0.005720,0,0
10800,1.411056,0.006175,0,0
10900,3.847317,0.006683,0,0
11000,2.817764,0.007168,0,0
11100,1.174860,0.007587,0,0
11200,6.169323,0.008079,0,0
11300,5.910752,0.008499,0,0
11400,3.403174,0.008956,0,0
11500,4.923027,0.009428,0,0
11600,5.305167,0.009856,0,0
11700,0.382500,0.010263,0,0
11800,4.503590,0.010664,0,0
11900,7.453632,0.011098,0,0
12000,2.654467,0.011463,0,0
12100,7.580193,0.011853,0,0
12200,2.766918,0.012298,0,0
12300,8.168298,0.012678,0,0
12400,3.302690,0.013148,0,0
12500,1.970183,0.013525,0,0
12600,3.336909,0.013910,0,0
12700,1.315860,0.014272,0,0
12800,0.252007,0.014622,0,0
12900,0.509608,0.014969,0,0
13000,1.016730,0.015312,0,0
13100,2.835799,0.015633,0,0
13200,7.593559,0.015957,0,0
13300,6.809859,0.016238,0,0
13400,0.423403,0.016502,0,0
13500,6.102695,0.016791,0,0
13600,6.302021,0.017040,0,0
13700,3.586083,0.017292,0,0
13800,3.749567,0.017510,0,0
13900,5.509497,0.017786,0,0
14000,3.944733,0.018102,0,0
14100,4.491889,0.018357,0,0
14200,4.217829,0.018585,0,0
14300,3.001332,0.018812,0,0
14400,5.829065,0.019032,0,0
14500,8.172404,0.019293,0,0
14600,3.250818,0.019490,0,0
14700,5.822733,0.019685,0,0
14800,0.605161,0.019878,0,0
14900,4.644687,0.020060,0,0
15000,3.612409,0.020197,0,0
15100,1.151969,0.020303,0,0
15200,7.116209,0.020396,0,0
15300,4.014372,0.020479,0,0
15400,6.885028,0.020569,0,0
15500,7.263697,0.020707,0,0
15600,5.602600,0.020783,0,0
15700,7.963416,0.020933,0,0
15800,8.075139,0.021083,0,0
15900,1.885950,0.021207,0,0
16000,1.374880,0.021370,0,0
16100,7.168083,0.021514,0,0
16200,5.334320,0.021593,0,0
16300,5.595003,0.021678,0,0
16400,4.742646,0.021823,0,0
16500,0.726532,0.021933,0,0
16600,5.162731,0.022062,0,0
16700,8.220659,0.022192,0,0
16800,3.355832,0.022275,0,0
16900,3.010932,0.022417,0,0
17000,2.298850,0.022493,0,0
17100,3.629965,0.022552,0,0
17200,8.427493,0.022627,0,0
17300,6.863545,0.022645,0,0
17400,1.116167,0.022690,0,0
17500,7.496278,0.022793,0,0
17600,7.465138,0.022865,0,0
17700,7.138674,0.022951,0,0
17800,5.079906,0.022961,0,0
17900,5.400808,0.023005,0,0
18000,2.189435,0.022954,0,0
18100,4.098924,0.022893,0,0
18200,8.269282,0.022792,0,0
18300,1.681516,0.022686,0,0
18400,4.580014,0.022581,0,0
18500,4.727920,0.022452,0,0
18600,3.856164,0.022354,0,0
18700,8.895834,0.022171,0,0
18800,1.511574,0.022036,0,0
18900,6.570804,0.021858,0,0
19000,5.459842,0.021646,0,0
19100,3.790225,0.021426,0,0
19200,7.409985,0.021161,0,0
19300,3.395050,0.020941,0,0
19400,0.512455,0.020679,0,0
19500,3.798330,0.020431,0,0
19600,6.297357,0.020237,0,0
19700,2.573857,0.019953,0,0
19800,7.102088,0.019716,0,0
19900,7.592919,0.019437,0,0
20000,145.001709,0.175772,1,0
20100,6.943777,0.175987,0,0
20200,0.819468,0.176139,0,0
20300,7.296770,0.176260,0,0
20400,1.373662,0.176318,0,0
20500,67.159369,0.309378,1,0
20600,6.523104,0.309339,0,0
20700,0.336907,0.309197,0,0
20800,6.645482,0.308924,0,0
20900,7.705640,0.308601,0,0
21000,44.641847,0.423204,1,0
21100,1.807966,0.422559,0,0
21200,5.355639,0.421815,0,0
21300,6.180636,0.420987,0,0
21400,6.602286,0.420065,0,0
21500,148.847753,0.617077,1,0
21600,8.099339,0.615927,0,0
21700,4.244526,0.614490,0,0
21800,3.864720,0.612945,0,0
21900,8.289395,0.611184,0,0
22000,153.963963,0.811372,1,1
22100,0.449705,0.809227,0,1
22200,2.261058,0.806820,0,1
22300,4.272461,0.804205,0,1
22400,0.998581,0.801442,0,1
22500,153.381175,0.999930,1,1
22600,1.914135,0.996854,0,1
22700,3.855672,0.993375,0,1
22800,4.434392,0.989568,0,1
22900,3.558670,0.985467,0,1
23000,73.455385,0.880914,1,1
23100,4.396643,0.885289,0,1
23200,4.742665,0.889392,0,1
23300,3.938953,0.893233,0,1
23400,1.116338,0.896773,0,1
23500,168.709365,0.686191,1,1
23600,0.795041,0.689249,0,1
23700,3.282694,0.692076,0,1
23800,1.531754,0.694648,0,1
23900,1.189406,0.697077,0,1
24000,173.951778,0.481264,1,0
24100,1.488231,0.483303,0,0
