time_ms,mode,continuity_score,handoff_event_bool
57300,Baseline,0.893514,0
57400,Baseline,0.892881,0
57500,Baseline,0.892253,0
57600,Baseline,0.891624,0
57700,Baseline,0.891009,0
57800,Baseline,0.890382,0
57900,Baseline,0.889770,0
58000,Baseline,0.889129,0
58100,Baseline,0.888496,0
58200,Baseline,0.887859,0
58300,Baseline,0.887224,0
58400,Baseline,0.886571,0
58500,Baseline,0.885933,0
58600,Baseline,0.885288,0
58700,Baseline,0.884655,0
58800,Baseline,0.884009,0
58900,Baseline,0.883357,0
59000,Baseline,0.882724,0
59100,Baseline,0.882079,0
59200,Baseline,0.881421,0
59300,Baseline,0.880792,0
59400,Baseline,0.880150,0
59500,Baseline,0.879511,0
59600,Baseline,0.878865,0
59700,Baseline,0.878213,0
59800,Baseline,0.877565,0
59900,Baseline,0.876932,0
60000,Baseline,0.876298,0
0,WNN,0.872685,0
100,WNN,0.872983,0
200,WNN,0.873526,0
300,WNN,0.874177,0
400,WNN,0.874867,0
500,WNN,0.875580,0
600,WNN,0.876304,0
700,WNN,0.877035,0
800,WNN,0.877759,0
900,WNN,0.878496,0
1000,WNN,0.879233,0
1100,WNN,0.879969,0
1200,WNN,0.880697,0
1300,WNN,0.881420,0
1400,WNN,0.882151,0
1500,WNN,0.882874,0
1600,WNN,0.883611,0
1700,WNN,0.884342,0
1800,WNN,0.885070,0
1900,WNN,0.885794,0
2000,WNN,0.886510,0
2100,WNN,0.887245,0
2200,WNN,0.887954,0
2300,WNN,0.888672,0
2400,WNN,0.889387,0
2500,WNN,0.890095,0
2600,WNN,0.890823,0
2700,WNN,0.891547,0
2800,WNN,0.892266,0
2900,WNN,0.892985,0
3000,WNN,0.893705,0
3100,WNN,0.894420,0
3200,WNN,0.895133,0
3300,WNN,0.895865,0
3400,WNN,0.896594,0
3500,WNN,0.897325,0
3600,WNN,0.898039,0
3700,WNN,0.898753,0
3800,WNN,0.899480,0
3900,WNN,0.900187,0
4000,WNN,0.900903,0
4100,WNN,0.901616,0
4200,WNN,0.902321,0
4300,WNN,0.903032,0
4400,WNN,0.903756,0
4500,WNN,0.904465,0
4600,WNN,0.905177,0
4700,WNN,0.905880,0
4800,WNN,0.906582,0
4900,WNN,0.907281,0
5000,WNN,0.907990,0
5100,WNN,0.908707,0
5200,WNN,0.909418,0
5300,WNN,0.910130,0
5400,WNN,0.910846,0
5500,WNN,0.911558,0
5600,WNN,0.912266,0
5700,WNN,0.912960,0
5800,WNN,0.913651,0
5900,WNN,0.914352,0
6000,WNN,0.915054,0
6100,WNN,0.915752,0
6200,WNN,0.916455,0
6300,WNN,0.917161,0
6400,WNN,0.917853,0
6500,WNN,0.918546,0
6600,WNN,0.919242,0
6700,WNN,0.919943,0
6800,WNN,0.920644,0
6900,WNN,0.921349,0
7000,WNN,0.922053,0
7100,WNN,0.922752,0
7200,WNN,0.923442,0
7300,WNN,0.924131,0
7400,WNN,0.924820,0
7500,WNN,0.925512,0
7600,WNN,0.926201,0
7700,WNN,0.926892,0
7800,WNN,0.927577,0
7900,WNN,0.928253,0
8000,WNN,0.928950,0
8100,WNN,0.929653,0
8200,WNN,0.930347,0
8300,WNN,0.931030,0
8400,WNN,0.931718,0
8500,WNN,0.932402,0
8600,WNN,0.933091,0
8700,WNN,0.933786,0
8800,WNN,0.934489,0
8900,WNN,0.935185,0
9000,WNN,0.935874,0
9100,WNN,0.936572,0
9200,WNN,0.937270,0
9300,WNN,0.937962,0
9400,WNN,0.938652,0
9500,WNN,0.939343,0
9600,WNN,0.940039,0
9700,WNN,0.940718,0
9800,WNN,0.941401,0
9900,WNN,0.942087,0
10000,WNN,0.942768,0
10100,WNN,0.943464,0
10200,WNN,0.944140,0
10300,WNN,0.944821,0
10400,WNN,0.945503,0
10500,WNN,0.946184,0
10600,WNN,0.946859,0
10700,WNN,0.947534,0
10800,WNN,0.948217,0
10900,WNN,0.948900,0
11000,WNN,0.949578,0
11100,WNN,0.950240,0
11200,WNN,0.950922,0
11300,WNN,0.951606,0
11400,WNN,0.952298,0
11500,WNN,0.952964,0
11600,WNN,0.953621,0
11700,WNN,0.954297,0
11800,WNN,0.954975,0
11900,WNN,0.955668,0
12000,WNN,0.956342,0
12100,WNN,0.957017,0
12200,WNN,0.957692,0
12300,WNN,0.958370,0
12400,WNN,0.959037,0
12500,WNN,0.959701,0
12600,WNN,0.960366,0
12700,WNN,0.961028,0
12800,WNN,0.961688,0
12900,WNN,0.962357,0
13000,WNN,0.963021,0
13100,WNN,0.963684,0
13200,WNN,0.964346,0
13300,WNN,0.965014,0
13400,WNN,0.965684,0
13500,WNN,0.966349,0
13600,WNN,0.967011,0
13700,WNN,0.967682,0
13800,WNN,0.968354,0
13900,WNN,0.969012,0
14000,WNN,0.969673,0
14100,WNN,0.970325,0
14200,WNN,0.970977,0
14300,WNN,0.971646,0
14400,WNN,0.972303,0
14500,WNN,0.972967,0
14600,WNN,0.973619,0
14700,WNN,0.974281,0
14800,WNN,0.974936,0
