seed,node_count,loss_rate,mode,mean_phase_error,sync_failure_bool
151798,50,0.000000,WNN,0.393404,0
151798,50,0.020000,Baseline,0.598511,0
151798,50,0.020000,WNN,0.390712,0
151798,50,0.050000,Baseline,0.596516,0
151798,50,0.050000,WNN,0.384943,0
151798,50,0.100000,Baseline,0.596280,0
151798,50,0.100000,WNN,0.384293,0
151798,100,0.000000,Baseline,0.596405,0
151798,100,0.000000,WNN,0.392070,0
151798,100,0.020000,Baseline,0.597650,0
151798,100,0.020000,WNN,0.394131,0
151798,100,0.050000,Baseline,0.593640,0
151798,100,0.050000,WNN,0.384749,0
151798,100,0.100000,Baseline,0.596212,0
151798,100,0.100000,WNN,0.386051,0
151798,500,0.000000,Baseline,0.601493,0
151798,500,0.000000,WNN,0.391693,0
151798,500,0.020000,Baseline,0.593488,0
151798,500,0.020000,WNN,0.389829,0
151798,500,0.050000,Baseline,0.595053,0
151798,500,0.050000,WNN,0.390620,0
151798,500,0.100000,Baseline,0.598365,0
151798,500,0.100000,WNN,0.387399,0
