timestamp_ms,node_i_id,node_j_id,phase_diff_rads,freq_diff_hz
1680,9,10,0.02554270,0.00050000
1680,10,11,0.02555952,0.00050000
1680,11,12,0.04236270,0.00050000
1680,12,13,0.02554270,0.00050000
1680,13,14,0.02554270,0.00050000
1680,14,15,0.04237952,0.00050000
1680,15,16,0.02554270,0.00050000
1680,16,17,0.02554270,0.00050000
1680,17,18,0.04236270,0.00050000
1680,18,19,0.02555952,0.00050000
1680,19,20,0.02554270,0.00050000
1680,20,21,0.04236270,0.00050000
1680,21,22,0.02554270,0.00050000
1680,22,23,0.02555952,0.00050000
1680,23,24,0.04236270,0.00050000
1680,24,25,0.02554270,0.00050000
1680,25,26,0.02554270,0.00050000
1680,26,27,0.02555952,0.00050000
1680,27,28,0.04236270,0.00050000
1680,28,29,0.02554270,0.00050000
1680,29,30,0.02554270,0.00050000
1680,30,31,0.04237952,0.00050000
1680,31,32,0.02554270,0.00050000
1680,32,33,0.02554270,0.00050000
1680,33,34,0.04236270,0.00050000
1680,34,35,0.02555952,0.00050000
1680,35,36,0.02554270,0.00050000
1680,36,37,0.04236270,0.00050000
1680,37,38,0.02554270,0.00050000
1680,38,39,0.02555952,0.00050000
1680,39,40,0.04236270,0.00050000
1680,40,41,0.02554270,0.00050000
1680,41,42,0.02554270,0.00050000
1680,42,43,0.04237952,0.00050000
1680,43,44,0.02554270,0.00050000
1680,44,45,0.02554270,0.00050000
1680,45,46,0.02554270,0.00050000
1680,46,47,0.04237952,0.00050000
1680,47,48,0.02554270,0.00050000
1680,48,49,0.02554270,0.00050000
1680,49,50,0.04236270,0.00050000
1680,50,51,0.02555952,0.00050000
1680,51,52,0.02554270,0.00050000
1680,52,53,0.04236270,0.00050000
1680,53,54,0.02554270,0.00050000
1680,54,55,0.02555952,0.00050000
1680,55,56,0.04236270,0.00050000
1680,56,57,0.02554270,0.00050000
1680,57,58,0.02554270,0.00050000
1680,58,59,0.04237952,0.00050000
1680,59,60,0.02554270,0.00050000
1680,60,61,0.02554270,0.00050000
1680,61,62,0.04236270,0.00050000
1680,62,63,0.02555952,0.00050000
1680,63,64,0.02554270,0.00050000
1680,64,65,0.02554270,0.00050000
1680,65,66,0.04236270,0.00050000
1680,66,67,0.02555952,0.00050000
1680,67,68,0.02554270,0.00050000
1680,68,69,0.04236270,0.00050000
1680,69,70,0.02554270,0.00050000
1680,70,71,0.02555952,0.00050000
1680,71,72,0.04236270,0.00050000
1680,72,73,0.02554270,0.00050000
1680,73,74,0.02554270,0.00050000
1680,74,75,0.04237952,0.00050000
1680,75,76,0.02554270,0.00050000
1680,76,77,0.02554270,0.00050000
1680,77,78,0.04236270,0.00050000
1680,78,79,0.02555952,0.00050000
1680,79,80,0.02554270,0.00050000
1680,80,81,0.02554270,0.00050000
1680,81,82,0.04236270,0.00050000
1680,82,83,0.02555952,0.00050000
1680,83,84,0.02554270,0.00050000
1680,84,85,0.04236270,0.00050000
1680,85,86,0.02554270,0.00050000
1680,86,87,0.02555952,0.00050000
1680,87,88,0.04236270,0.00050000
1680,88,89,0.02554270,0.00050000
1680,89,90,0.02554270,0.00050000
1680,90,91,0.04237952,0.00050000
1680,91,92,0.02554270,0.00050000
1680,92,93,0.02554270,0.00050000
1680,93,94,0.04236270,0.00050000
1680,94,95,0.02555952,0.00050000
1680,95,96,0.02554270,0.00050000
1680,96,97,0.04236270,0.00050000
1680,97,98,0.02554270,0.00050000
1680,98,99,0.02555952,0.00050000
